,CID,카테고리명,KDC분류,KDC분류명,GenreEnum
2168,34787,형법,37,교육학,EDUCATION
2169,34789,민사소송법,37,교육학,EDUCATION
2170,34790,상법,37,교육학,EDUCATION
2171,34791,행정법,37,교육학,EDUCATION
2172,34792,형사소송법,37,교육학,EDUCATION
2173,54742,노동법,37,교육학,EDUCATION
2174,157810,국제법,37,교육학,EDUCATION
2175,157811,국제거래법,37,교육학,EDUCATION
2176,157812,조세법,37,교육학,EDUCATION
2177,157813,지적재산권법,37,교육학,EDUCATION
2178,157814,경제법,37,교육학,EDUCATION
2179,157815,환경법,37,교육학,EDUCATION
2180,34719,민법,37,교육학,EDUCATION
2181,34774,수험법전,37,교육학,EDUCATION
2182,34704,취업/상식/적성,32,경제학,ECONOMICS
2183,34891,공사 공단 수험서,32,경제학,ECONOMICS
2184,142101,한국전력공사,32,경제학,ECONOMICS
2185,142102,한국철도공사,32,경제학,ECONOMICS
2186,142103,한국토지주택공사,32,경제학,ECONOMICS
2187,142104,서울교통공사,32,경제학,ECONOMICS
2188,142105,한국도로공사,32,경제학,ECONOMICS
2189,142106,근로복지공단,32,경제학,ECONOMICS
2190,142107,한국농어촌공사,32,경제학,ECONOMICS
2191,142108,한국수자원공사,32,경제학,ECONOMICS
2192,142109,한국가스공사,32,경제학,ECONOMICS
2193,142110,인천국제공항공사,32,경제학,ECONOMICS
2194,142111,한국공항공사,32,경제학,ECONOMICS
2195,142112,한국자산관리공사,32,경제학,ECONOMICS
2196,142113,한국관광공사,32,경제학,ECONOMICS
2197,142114,국민연금공단,32,경제학,ECONOMICS
2198,142115,한국수력원자력,32,경제학,ECONOMICS
2199,142116,건강보험심사평가원,32,경제학,ECONOMICS
2200,35645,국민건강보험공단,32,경제학,ECONOMICS
2201,36055,부산교통공사,32,경제학,ECONOMICS
2202,52279,기타,32,경제학,ECONOMICS
2203,48440,농협,32,경제학,ECONOMICS
2204,48441,기타,32,경제학,ECONOMICS
2205,48442,대한항공 KALSAT,32,경제학,ECONOMICS
2206,48443,두산 DCAT,32,경제학,ECONOMICS
2208,48445,이랜드,32,경제학,ECONOMICS
2209,48446,한화 HAT,32,경제학,ECONOMICS
2210,48447,현대기아자동차,32,경제학,ECONOMICS
2211,48448,CJ,32,경제학,ECONOMICS
2212,48450,KT,32,경제학,ECONOMICS
2213,48451,LG RPST,32,경제학,ECONOMICS
2214,48452,SK,32,경제학,ECONOMICS
2215,48453,STX SCCT,32,경제학,ECONOMICS
2216,36025,GSAT(SSAT),32,경제학,ECONOMICS
2217,120714,NCS,32,경제학,ECONOMICS
2218,34892,기업 적성검사,32,경제학,ECONOMICS
2219,36923,시사/상식,32,경제학,ECONOMICS
2220,64312,월간 이슈&상식,32,경제학,ECONOMICS
2221,36922,취업 면접/자기소개서,32,경제학,ECONOMICS
2222,50734,취업 정보,32,경제학,ECONOMICS
2251,34705,편입/검정고시/독학사,37,교육학,EDUCATION
2252,34898,고입검정,37,교육학,EDUCATION
2253,34899,고졸/대입검정,37,교육학,EDUCATION
2254,34896,대학편입,37,교육학,EDUCATION
2255,34897,독학사,37,교육학,EDUCATION
2257,34916,교양공통,37,교육학,EDUCATION
2258,34917,국어국문학과,80,문학,LITERATURE
2259,34918,법학과,36,법학,LAW
2260,34919,영어영문학과,74,영어,ENGLISH
2261,52308,기타,37,교육학,EDUCATION
2262,50761,간호학과,37,교육학,EDUCATION
2263,34923,중입검정,37,교육학,EDUCATION
2264,34894,한국사능력검정시험,37,교육학,EDUCATION
2265,166524,"기본(4,5,6급)",37,교육학,EDUCATION
2266,166525,"심화(1,2,3급)",37,교육학,EDUCATION
2267,34895,한국어능력검정시험,71,한국어,KOREAN
2268,117990,한자시험,37,교육학,EDUCATION
2269,35641,상공회의소 한자시험,37,교육학,EDUCATION
2270,48489,한자능력검정시험,37,교육학,EDUCATION
2271,35643,한자자격시험,37,교육학,EDUCATION
